Section,Page/Funnel,Message ID,Message Name,Channel,Type,Trigger,Frequency,Per User Volume,Function,Timeline,Pause Key (campaign_config),SMS Template Key,Subject Line / Preview Text,Full Copy / Body,Variables Used,MMS/Media,Compliance Flags,STOP Language,Notes
ONBOARDING,Challenge Signup (/challenge),welcome-sms,Challenge Welcome SMS,SMS,Transactional,User completes GratitudeSetupFlow,1× per user (on signup),1 SMS,schedule-challenge-messages → sms-router,Immediately on signup,engagement_daily_reminders,challenge-welcome,"","🙏 Welcome to the I am Blessed AF 3-Day Gratitude Challenge!

Your challenge starts tomorrow at 11:11 AM.
Day 1 message goes to {{friendName}}.

We'll text you at 3PM today to help you prepare.

Reply STOP to opt out.
— I am Blessed AF",friendName,No,"engagement, onboarding",Yes — Reply STOP to opt out,First touchpoint after signup
ONBOARDING,Challenge Signup (/challenge),welcome-email,Challenge Welcome Email,Email,Transactional,User completes GratitudeSetupFlow,1× per user (on signup),1 Email,send-welcome-email,Immediately on signup,—,—,You're early.,"{greeting}

You just did something most people won't.

You didn't scroll past. You didn't bookmark it for later. You decided.

That says more about you than any email we could write.

Here's what we'll tell you right now: IamBlessedAF isn't a reminder to be grateful. It's what happens when gratitude stops being something you do — and becomes something you are.

We're building this for a specific kind of person. You already know if that's you.

More is coming. Not today. Not because we're holding back — because it's not ready to be rushed. When it lands, you'll understand why you were early.

Until then — you're in.

— IamBlessedAF","email, name",No,—,No,Preview text: Most people wait. You didn't.
CHALLENGE DAY 0,Challenge Automation,reminder-3pm,3PM Reminder SMS,SMS,Transactional,pg_cron every minute (send-scheduled-messages checks reminder_send_at),1× per friend per day,Up to 3 SMS (1 per friend),send-scheduled-messages → sms-router,Day 0 at 3:00 PM → Day 2 at 3:00 PM,engagement_daily_reminders,challenge-reminder-3pm,"","🙏 Hey! Tomorrow is Day {{dayNumber}} of your Gratitude Challenge.

Your 11:11 message goes to {{friendName}}.

What moment are you grateful for? Reply with your memory and we'll format your message!

— I am Blessed AF","dayNumber, friendName",No,"engagement, reminder",No,Prompts user to reply with gratitude memory
CHALLENGE DAY 1–3,Challenge Automation,1111-send,11:11 Message SMS,SMS,Transactional,pg_cron every minute (send-scheduled-messages checks scheduled_send_at),1× per friend,Up to 3 SMS (1 per friend),send-scheduled-messages → sms-router,Day 1 at 11:11 AM → Day 3 at 11:11 AM,engagement_daily_reminders,challenge-1111-send,"","It's 11:11! 🙏 Time to send your gratitude to {{friendName}}.

Here's your message:

""{{messageBody}}""

Copy and send it now! Reply DONE when sent. 🧠

— I am Blessed AF","friendName, messageBody",No,"engagement, action-prompt",No,Only sends if message_body is not empty & status=scheduled
CHALLENGE FOLLOWUP,Challenge Automation,followup-day2,Friend 2 Collection SMS,SMS,Transactional,pg_cron every 30 min (send-followup-sequences),1× per user (if friend_2 missing),1 SMS,send-followup-sequences → sms-router,Day 2 at 10:00 AM,engagement_followup_friends,custom-transactional,"","Hey {name}! 🙏

Your gratitude to {friend_1_name} was powerful.

Day 2 question: Who's someone who helped you when they didn't have to?

Reply with their name and we'll set up your next 11:11 message! 💛

— Blessed AF","name, friend_1_name",No,custom,No,Skips if friend_2 already provided or phone PAUSED
CHALLENGE FOLLOWUP,Challenge Automation,followup-day3,Friend 3 Collection SMS,SMS,Transactional,pg_cron every 30 min (send-followup-sequences),1× per user (if friend_3 missing),1 SMS,send-followup-sequences → sms-router,Day 3 at 10:00 AM,engagement_followup_friends,custom-transactional,"","Hey {name}! 🙏

You're on a roll! Two friends, two gratitude texts.

Day 3 question: Who's someone unexpected you're grateful for? A teacher, coworker, or someone who surprised you.

Reply with their name! 💛

— Blessed AF","name",No,custom,No,Skips if friend_3 already provided
WEEKLY ENGAGEMENT,TGF Friday,tgf-friday-sms,TGF Gratitude Friday SMS,SMS + MMS,Transactional,pg_cron every Friday at 7:00 AM UTC,1× per user per week,1 SMS/MMS per week,tgf-friday → sms-router,Every Friday 7:00 AM UTC (ongoing),engagement_tgf_friday,tgf-friday,"","🙏 TGF — Thank God it's Friday!

Hey {{senderName}}, it's Gratitude Friday!

This week's mission: Send a quick ""Thank You"" to {{friendName}}.

Here's a message you can forward:

""Hey {{friendName}} Thank You! 🙏
Got you this wristband, get it shipped with your address here:
{{referralLink}}""

Spread the gratitude! 💛
— I am Blessed AF","senderName, friendName, referralLink",Yes — wristband image via MMS,"engagement, weekly-mission",No,Rotates between friend_1/2/3 based on lowest send_count in tgf_friday_contacts
STREAK MILESTONE,Challenge Automation,streak-update,Streak Update SMS,SMS,Transactional,Triggered by streak milestone,On streak days 3/7/14/30,1 SMS per milestone,sms-router (template registered),When streak milestone hit,—,challenge-streak-update,"","🔥 {{streakCount}}-day streak! You're on fire, {{name}}. Keep the gratitude flowing tomorrow at 11:11.

— I am Blessed AF","streakCount, name",No,"engagement, progress",No,Template registered in sms-router but not yet auto-triggered
CHALLENGE COMPLETE,Challenge Automation,challenge-complete,Challenge Completion SMS,SMS,Transactional,Triggered on 3-day completion,1× per user,1 SMS,sms-router (template registered),After Day 3 message sent,—,challenge-completion,"","🎉 You completed the 3-Day Gratitude Challenge! {{name}}, you've sent love to {{friendCount}} friends.

Your gratitude ripple is real. 🌊

— I am Blessed AF","name, friendCount",No,"engagement, milestone",No,Template registered in sms-router but not yet auto-triggered
AUTHENTICATION,All auth-gated pages,otp-sms,OTP Login SMS,SMS,OTP,User requests phone verification,On demand,1 SMS per request (rate limited: 1/min; 10/hr per IP),send-otp → sms-router,Immediate,—,otp-login,"",Your I am Blessed AF verification code is: {{code}}. Do not share this code. Expires in 10 minutes.,code,No,"no-marketing, security-only",No,E.164 phone format required
AUTHENTICATION,All auth-gated pages,otp-password-reset,OTP Password Reset SMS,SMS,OTP,User requests password reset,On demand,1 SMS per request,send-otp → sms-router,Immediate,—,otp-password-reset,"",Your I am Blessed AF password reset code is: {{code}}. If you didn't request this — ignore this message.,code,No,"no-marketing, security-only",No,Same rate limits as login OTP
AUTHENTICATION,Email verification,email-otp,Email Verification OTP,Email,OTP,User requests email verification,On demand,1 Email per request (rate limited: 1/min; 10/hr per IP),send-email-otp,Immediate,—,—,"Your verification code: {otpCode}","Enter this code to verify your email:

[CODE BLOCK: {otpCode}]

This code expires in 10 minutes.

If you didn't request this code, you can safely ignore this email.",otpCode,No,—,No,Uses otp_codes table (phone column stores email)
B2B ONBOARDING,Expert Leads (/3300us-Credit-*),expert-welcome,Expert Welcome Email,Email,Transactional,Expert lead form submission,1× per expert signup,1 Email,send-expert-welcome,Immediately on lead submission,—,—,"You're about to 2.7x your leads 🚀","Welcome to the Neuro-Hackers Movement.

You just enrolled in something that's going to change how you capture leads forever.

[If niche provided]: We see you're in {niche}. Perfect — the wristband funnel works incredibly well in your space.

[STAT BOX: 2.7x Average Lead Capture Increase]

The science: when someone receives a real, physical gift — a gratitude wristband backed by Dr. Huberman's neuroscience research — the reciprocity effect kicks in.

What happens next:
1. We build your custom funnel (within 48 hours)
2. You drive traffic (they claim FREE wristband)
3. Watch the magic (higher show-up rates, referral loop)

We'll reach out within 24 hours. Welcome to the movement. 🙏

— The IamBlessedAF Team
Backed by Dr. Huberman · Dr. Dispenza · Harvard Grant Study","email, name, niche",No,—,No,Preview: Your custom wristband funnel is coming.
